date,AZM_minutes,rmssd,nremhr,entropy,sleep_score,deep_sleep_min,resting_heart_rate,stress_score,o2_avg,o2_lower_bound,o2_upper_bound,calories
2023-06-29,157.0,67.89393103448276,0.9697126436781609,1106.6131954022987,68.0,96.0,58.0,77.0,84.797265625,70.7,98.8,2345.97
2023-06-30,34.0,63.09257534246575,0.9740136986301369,930.9207945205478,65.0,65.0,57.0,80.0,83.35862944162437,93.05000000000001,98.4,1772.7
2023-07-01,1.0,87.91776041666667,0.9673020833333333,1320.88903125,85.0,106.0,57.0,86.0,84.84333333333333,86.35,98.6,1669.63
2023-07-02,26.0,60.61796666666667,0.971125,950.8540166666667,84.0,90.0,56.0,79.0,84.86728971962617,86.75,98.2,1591.05
2023-07-03,44.0,96.2077951807229,0.977132530120482,1310.125746987952,80.0,78.0,56.0,82.0,83.33721973094171,90.85,97.6,2095.86
2023-07-04,44.0,89.09385714285715,0.9704166666666667,1309.5500833333333,72.0,63.0,54.0,79.0,78.59688041594454,71.75,96.8,1463.32
2023-07-06,41.0,79.00998924731184,0.9734623655913978,1063.3141505376343,82.0,59.0,53.0,84.0,86.47672253258845,72.5,99.0,1769.66
2023-07-07,4.0,110.38305263157893,0.9775394736842105,1684.667407894737,81.0,82.0,53.0,85.0,81.78641425389755,71.65,97.7,1517.63
2023-07-08,27.0,87.79290425531914,0.9778829787234041,1081.2613936170212,74.0,6.0,51.0,72.0,83.64169811320754,88.1,97.9,1733.04
2023-07-09,60.0,96.15232954545455,0.968840909090909,1053.895,73.0,85.0,52.0,75.0,79.25093632958801,91.4,98.6,1866.64
2023-07-10,11.0,88.07594642857143,0.9710714285714286,1176.6868214285714,59.0,38.0,54.0,69.0,80.10974477958237,93.2,97.3,1949.17
2023-07-11,25.0,64.36098888888888,0.9833222222222222,885.6456444444443,80.0,112.0,54.0,73.0,86.66847599164926,94.9,98.4,1800.77
2023-07-13,10.0,93.41521917808218,0.9715205479452054,1774.9918630136988,72.0,60.0,56.0,78.0,76.93231707317072,71.95,96.0,1764.52
2023-07-15,150.0,65.55540594059406,0.9643267326732673,1116.5154653465347,83.0,83.0,56.0,73.0,81.11245614035087,91.44999999999999,94.9,2150.54
2023-07-16,3.0,71.17035294117647,0.9804019607843137,1007.1115882352941,85.0,111.0,57.0,89.0,81.75764023210832,94.9,96.1,1714.59
2023-07-17,44.0,78.13747368421053,0.963578947368421,1274.7158526315789,80.0,84.0,58.0,81.0,84.62899824253076,96.4,97.5,1942.74
2023-07-18,22.0,77.329987012987,0.9762207792207792,979.7757662337661,73.0,79.0,58.0,83.0,88.48857142857142,88.6,98.5,1796.99
2023-07-19,81.0,74.19037931034482,0.959551724137931,1095.3432988505747,78.0,79.0,57.0,79.0,79.84366729678639,71.25,94.8,1724.71
2023-07-20,7.0,59.40301052631579,0.9814947368421052,787.1199263157895,84.0,93.0,58.0,82.0,85.63121387283236,96.45,98.3,1847.38
2023-07-21,18.0,77.32141414141414,0.9672929292929293,951.3131717171717,85.0,79.0,58.0,84.0,82.85534351145037,71.55,96.8,1731.75
2023-07-22,34.0,81.03948,0.97178,1205.75567,85.0,96.0,59.0,87.0,79.93522537562603,92.5,96.0,1726.92
2023-07-23,4.0,98.99378787878788,0.9770707070707071,1360.3245656565657,81.0,92.0,59.0,75.0,82.11379962192817,92.1,96.4,1611.3
2023-07-24,120.0,94.13490909090909,0.9769090909090908,917.2159454545455,73.0,61.0,58.0,78.0,80.1563157894737,95.75,93.0,1961.28
2023-07-25,11.0,65.12958823529412,0.987235294117647,868.1575647058824,84.0,117.0,58.0,77.0,82.6300380228137,95.4,99.0,1638.27
2023-07-26,5.0,71.61340740740741,0.9642716049382716,1118.7912345679013,80.0,48.0,59.0,79.0,81.19883945841393,76.03333333333333,99.2,1593.17
2023-07-27,9.0,59.42835443037975,0.985126582278481,715.4821392405063,80.0,67.0,59.0,73.0,82.67447257383965,94.55,98.0,1633.3500000000001
2023-07-28,42.0,64.05217777777777,0.9692222222222223,907.2319777777777,80.0,82.0,61.0,77.0,82.78899613899614,70.1,97.5,1706.68
2023-07-29,10.0,55.69786666666667,0.9673888888888889,718.4413777777778,84.0,101.0,62.0,76.0,81.06756238003838,94.15,97.0,1740.16
2023-07-30,114.0,54.43513157894736,0.9786184210526315,606.6633947368421,78.0,88.0,62.0,76.0,84.15452793834297,71.85,100.0,1776.02
2023-07-31,16.0,58.12080208333333,0.9754479166666666,767.2154791666667,79.0,81.0,64.0,77.0,78.62238095238095,88.95,97.0,1785.45
2023-08-01,10.0,79.85552272727273,0.9616022727272727,1026.039068181818,81.0,78.0,63.0,79.0,81.87982832618026,70.45,96.4,1573.1200000000001
2023-08-02,23.0,68.54607777777778,0.9645333333333332,859.0132777777777,74.0,84.0,61.0,74.0,81.18579881656804,87.30000000000001,97.4,1623.72
2023-08-03,44.0,83.37394736842104,0.986,1160.4246666666668,77.0,63.0,60.0,67.0,82.23613707165109,88.6,97.2,1819.32
2023-08-04,1.0,67.059,0.9665205479452055,692.8957123287671,79.0,55.0,58.0,76.0,80.1116173120729,91.65,98.4,1611.92
2023-08-05,107.0,75.00625882352941,0.9625764705882354,964.0923882352942,71.0,48.0,58.0,69.0,87.17287735849057,91.65,98.8,1787.89
2023-08-06,12.0,74.72164130434783,0.9684239130434783,963.7614782608696,77.0,92.0,57.0,73.0,82.11285444234404,70.75,97.6,1710.03
2023-08-07,2.0,70.48902173913044,0.9713478260869566,899.9455652173913,79.0,83.0,58.0,69.0,78.55961538461538,71.1,98.6,1413.98
2023-08-08,123.0,77.5476404494382,0.9685280898876404,1161.9684494382022,62.0,66.0,58.0,61.0,83.3755230125523,89.9,95.8,2023.25
2023-08-09,10.0,58.31949462365591,0.974494623655914,786.1876774193548,87.0,95.0,58.0,77.0,85.39810246679318,88.75,99.8,1640.8
2023-08-10,37.0,81.39157142857142,0.964945054945055,1178.392054945055,83.0,72.0,59.0,77.0,79.69086294416245,73.35,99.0,1710.74
2023-08-11,10.0,80.93568235294119,0.9703647058823529,1328.211105882353,79.0,62.0,59.0,71.0,83.33431952662721,72.1,99.2,1730.78
2023-08-12,7.0,74.40333707865169,0.9795617977528089,983.8368539325842,85.0,112.0,59.0,83.0,85.0384,66.4,97.9,1762.08
2023-08-13,112.0,54.13056790123457,0.967432098765432,566.5637407407407,69.0,74.0,58.0,74.0,82.04509803921567,69.9,95.0,1908.3
2023-08-14,3.0,56.37667777777778,0.961,745.9559999999999,79.0,86.0,59.0,78.0,81.2176276771005,92.75,99.7,1571.97
2023-08-15,10.0,58.039,0.9585747126436782,784.8841379310345,78.0,89.0,60.0,78.0,82.7889748549323,92.5,95.1,1660.92
2023-08-16,129.0,65.02640206185566,0.9708556701030928,956.1804536082474,84.0,88.0,60.0,77.0,87.51573033707865,92.7,98.8,2054.1
2023-08-17,7.0,49.37985555555555,0.9678333333333333,738.9460222222223,80.0,70.0,59.0,79.0,80.91921768707483,92.3,97.2,1529.98
2023-08-18,5.0,46.87244086021505,0.9654193548387096,579.1023225806453,76.0,79.0,61.0,75.0,86.54842105263158,62.93333333333334,99.3,1790.01
2023-08-19,1.0,55.884589999999996,0.96152,827.30716,84.0,76.0,63.0,75.0,81.83039723661486,96.15,95.2,1734.68
2023-08-20,67.0,65.5738,0.9705176470588235,786.8599764705882,84.0,55.0,64.0,83.0,85.83634311512415,72.5,98.9,1672.38
2023-08-21,31.0,64.19999,0.9678399999999999,880.65971,86.0,105.0,63.0,80.0,84.4775652173913,87.1,96.9,1876.5
2023-08-22,90.0,62.60762105263158,0.9536,913.3624,80.0,71.0,62.0,75.0,82.03811394891946,93.35,98.2,1902.59
2023-08-23,12.0,67.1554268292683,0.9653902439024389,791.6240731707317,84.0,101.0,62.0,84.0,84.80091324200914,93.0,97.1,2024.52
2023-08-24,15.0,52.36652884615384,0.9701730769230769,604.2375096153846,89.0,90.0,62.0,79.0,85.23856427378965,93.9,98.1,1859.27
2023-08-25,43.0,72.09241379310345,0.9607816091954022,915.6089999999999,78.0,69.0,63.0,82.0,81.30078125,91.0,98.7,1707.4
2023-08-26,15.0,67.57177,0.9703399999999999,962.96431,86.0,119.0,62.0,81.0,83.83386243386244,95.8,97.9,1731.48
2023-08-27,7.0,61.42862626262627,0.9648787878787879,970.9432424242424,84.0,77.0,62.0,75.0,83.63495145631067,88.3,97.1,2063.9900000000002
2023-08-28,69.0,54.887112244897956,0.9718775510204082,638.9280918367347,83.0,68.0,62.0,77.0,85.7878277153558,87.0,98.5,2054.32
2023-08-29,12.0,87.98704878048781,0.9624146341463413,979.2447560975611,83.0,101.0,62.0,81.0,84.41415525114155,96.75,98.0,1797.33
2023-08-30,34.0,70.66494936708861,0.9621518987341773,776.9812658227848,75.0,88.0,61.0,77.0,80.3409465020576,90.4,95.5,1769.27
2023-08-31,146.0,88.51208620689656,0.9723275862068965,1300.630379310345,67.0,61.0,60.0,70.0,82.99536679536679,91.05,99.3,2155.58
2023-09-01,36.0,80.99794444444444,0.9557777777777778,1149.9792499999999,75.0,84.0,57.0,82.0,78.8274165202109,98.4,98.0,2083.23
2023-09-02,7.0,72.88852127659574,0.966063829787234,1160.2574042553192,83.0,92.0,57.0,84.0,84.18180180180181,93.19999999999999,97.7,1624.2
2023-09-03,20.0,86.06773255813954,0.9631627906976743,1249.770511627907,77.0,78.0,57.0,77.0,86.70232558139534,72.1,99.9,1661.63
2023-09-04,172.0,77.70122988505747,0.9733908045977012,994.7415747126436,78.0,82.0,57.0,79.0,81.58724279835391,91.35,97.0,2469.15
2023-09-05,13.0,67.28196590909091,0.9475113636363637,944.407375,71.0,80.0,57.0,80.0,81.76796116504855,93.75,100.0,1826.89
2023-09-06,132.0,64.2439880952381,0.9657023809523809,911.9600238095239,79.0,74.0,57.0,79.0,79.21188299817184,86.9,95.1,2064.4
2023-09-07,40.0,59.289880952380955,0.9591785714285714,829.9717738095238,75.0,81.0,58.0,90.0,81.58851063829788,91.85,97.2,1771.66
2023-09-08,24.0,81.70355294117647,0.9637176470588235,1135.2078,83.0,96.0,59.0,83.0,83.38546637744034,91.3,99.5,1797.32
2023-09-09,170.0,68.027,0.9668333333333333,924.3218111111112,83.0,90.0,59.0,80.0,81.33362989323844,88.30000000000001,99.1,2168.64
2023-09-10,6.0,54.936042016806724,0.9749747899159663,853.1507142857142,88.0,86.0,59.0,86.0,82.22266081871345,89.25,99.9,1571.96
2023-09-11,51.0,63.117913461538464,0.9717115384615383,1035.8278076923077,82.0,81.0,60.0,79.0,83.73732638888889,92.1,98.3,1802.8700000000001
2023-09-12,2.0,76.7240824742268,0.9614639175257732,1255.6105051546392,83.0,63.0,60.0,84.0,82.68152380952381,95.4,98.2,1779.64
2023-09-13,18.0,85.30665979381442,0.9549690721649485,1218.1832577319587,85.0,80.0,59.0,82.0,84.56385068762279,95.4,99.2,1592.69
2023-09-14,115.0,57.987025,0.9604,814.7603833333334,90.0,94.0,58.0,82.0,83.67172312223859,96.85,98.5,1960.18
2023-09-15,11.0,64.52323300970873,0.9395436893203883,1074.8935436893205,81.0,64.0,59.0,84.0,85.46355140186915,85.3,99.1,1656.77
2023-09-16,29.0,73.06610752688172,0.9589354838709677,1028.4535591397848,74.0,66.0,59.0,67.0,85.21513409961686,87.25,98.3,2078.9900000000002
2023-09-17,187.0,75.73418556701031,0.9598041237113402,1174.8874742268042,86.0,100.0,59.0,79.0,82.75867924528302,71.2,97.8,2266.92
2023-09-18,17.0,63.478972222222225,0.9509814814814815,1081.1759444444444,81.0,83.0,59.0,82.0,79.82216828478964,73.0,96.1,1650.38
2023-09-19,10.0,58.0942676056338,0.9655070422535211,1051.9204507042252,72.0,75.0,60.0,74.0,83.972987012987,71.05,97.4,2049.7200000000003
2023-09-20,6.0,68.99500952380951,0.9527428571428571,951.7692666666667,80.0,91.0,60.0,76.0,86.7477508650519,71.0,99.3,1754.78
2023-09-22,126.0,39.054747252747255,0.972032967032967,598.7251098901099,72.0,69.0,63.0,67.0,80.6,91.8,96.0,2580.26
2023-09-23,66.0,46.421851063829784,0.9662978723404254,648.1790106382979,75.0,96.0,65.0,72.0,80.6295145631068,89.3,96.0,2192.34
