logId,dateOfSleep,startTime,endTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,type,infoCode,logType,levels/summary/deep/count,levels/summary/deep/minutes,levels/summary/deep/thirtyDayAvgMinutes,levels/summary/wake/count,levels/summary/wake/minutes,levels/summary/wake/thirtyDayAvgMinutes,levels/summary/light/count,levels/summary/light/minutes,levels/summary/light/thirtyDayAvgMinutes,levels/summary/rem/count,levels/summary/rem/minutes,levels/summary/rem/thirtyDayAvgMinutes,levels/data/0/dateTime,levels/data/0/level,levels/data/0/seconds,levels/data/1/dateTime,levels/data/1/level,levels/data/1/seconds,levels/data/2/dateTime,levels/data/2/level,levels/data/2/seconds,levels/data/3/dateTime,levels/data/3/level,levels/data/3/seconds,levels/data/4/dateTime,levels/data/4/level,levels/data/4/seconds,levels/data/5/dateTime,levels/data/5/level,levels/data/5/seconds,levels/data/6/dateTime,levels/data/6/level,levels/data/6/seconds,levels/data/7/dateTime,levels/data/7/level,levels/data/7/seconds,levels/data/8/dateTime,levels/data/8/level,levels/data/8/seconds,levels/data/9/dateTime,levels/data/9/level,levels/data/9/seconds,levels/data/10/dateTime,levels/data/10/level,levels/data/10/seconds,levels/data/11/dateTime,levels/data/11/level,levels/data/11/seconds,levels/data/12/dateTime,levels/data/12/level,levels/data/12/seconds,levels/data/13/dateTime,levels/data/13/level,levels/data/13/seconds,levels/data/14/dateTime,levels/data/14/level,levels/data/14/seconds,levels/data/15/dateTime,levels/data/15/level,levels/data/15/seconds,levels/shortData/0/dateTime,levels/shortData/0/level,levels/shortData/0/seconds,levels/shortData/1/dateTime,levels/shortData/1/level,levels/shortData/1/seconds,levels/shortData/2/dateTime,levels/shortData/2/level,levels/shortData/2/seconds,levels/shortData/3/dateTime,levels/shortData/3/level,levels/shortData/3/seconds,levels/shortData/4/dateTime,levels/shortData/4/level,levels/shortData/4/seconds,levels/shortData/5/dateTime,levels/shortData/5/level,levels/shortData/5/seconds,levels/shortData/6/dateTime,levels/shortData/6/level,levels/shortData/6/seconds,levels/shortData/7/dateTime,levels/shortData/7/level,levels/shortData/7/seconds,levels/shortData/8/dateTime,levels/shortData/8/level,levels/shortData/8/seconds,levels/shortData/9/dateTime,levels/shortData/9/level,levels/shortData/9/seconds,levels/shortData/10/dateTime,levels/shortData/10/level,levels/shortData/10/seconds,levels/shortData/11/dateTime,levels/shortData/11/level,levels/shortData/11/seconds,levels/shortData/12/dateTime,levels/shortData/12/level,levels/shortData/12/seconds,levels/shortData/13/dateTime,levels/shortData/13/level,levels/shortData/13/seconds,levels/shortData/14/dateTime,levels/shortData/14/level,levels/shortData/14/seconds,levels/shortData/15/dateTime,levels/shortData/15/level,levels/shortData/15/seconds,levels/shortData/16/dateTime,levels/shortData/16/level,levels/shortData/16/seconds,levels/shortData/17/dateTime,levels/shortData/17/level,levels/shortData/17/seconds,levels/shortData/18/dateTime,levels/shortData/18/level,levels/shortData/18/seconds,levels/shortData/19/dateTime,levels/shortData/19/level,levels/shortData/19/seconds,levels/shortData/20/dateTime,levels/shortData/20/level,levels/shortData/20/seconds,levels/shortData/21/dateTime,levels/shortData/21/level,levels/shortData/21/seconds,levels/shortData/22/dateTime,levels/shortData/22/level,levels/shortData/22/seconds,levels/shortData/23/dateTime,levels/shortData/23/level,levels/shortData/23/seconds,levels/shortData/24/dateTime,levels/shortData/24/level,levels/shortData/24/seconds,levels/shortData/25/dateTime,levels/shortData/25/level,levels/shortData/25/seconds,levels/shortData/26/dateTime,levels/shortData/26/level,levels/shortData/26/seconds,levels/shortData/27/dateTime,levels/shortData/27/level,levels/shortData/27/seconds,mainSleep,levels/data/16/dateTime,levels/data/16/level,levels/data/16/seconds,levels/data/17/dateTime,levels/data/17/level,levels/data/17/seconds,levels/data/18/dateTime,levels/data/18/level,levels/data/18/seconds,levels/data/19/dateTime,levels/data/19/level,levels/data/19/seconds,levels/data/20/dateTime,levels/data/20/level,levels/data/20/seconds,levels/data/21/dateTime,levels/data/21/level,levels/data/21/seconds,levels/data/22/dateTime,levels/data/22/level,levels/data/22/seconds,levels/data/23/dateTime,levels/data/23/level,levels/data/23/seconds,levels/data/24/dateTime,levels/data/24/level,levels/data/24/seconds,levels/data/25/dateTime,levels/data/25/level,levels/data/25/seconds,levels/shortData/28/dateTime,levels/shortData/28/level,levels/shortData/28/seconds,levels/shortData/29/dateTime,levels/shortData/29/level,levels/shortData/29/seconds,levels/data/26/dateTime,levels/data/26/level,levels/data/26/seconds,levels/data/27/dateTime,levels/data/27/level,levels/data/27/seconds,levels/data/28/dateTime,levels/data/28/level,levels/data/28/seconds,levels/data/29/dateTime,levels/data/29/level,levels/data/29/seconds,levels/data/30/dateTime,levels/data/30/level,levels/data/30/seconds
42547053340,2023-08-25,2023-08-25T00:36:30.000,2023-08-25T08:01:30.000,26700000,0,383,62,0,445,94,stages,0,auto_detected,2,69,79,32,62,57,25,219,220,12,95,93,2023-08-25T00:36:30.000,wake,450,2023-08-25T00:44:00.000,light,210,2023-08-25T00:47:30.000,wake,300,2023-08-25T00:52:30.000,light,1260,2023-08-25T01:13:30.000,deep,2100,2023-08-25T01:48:30.000,light,5730,2023-08-25T03:24:00.000,rem,2130,2023-08-25T03:59:30.000,light,1440,2023-08-25T04:23:30.000,deep,2160,2023-08-25T04:59:30.000,light,450,2023-08-25T05:07:00.000,wake,960,2023-08-25T05:23:00.000,light,3000,2023-08-25T06:13:00.000,rem,2550,2023-08-25T06:55:30.000,light,1890,2023-08-25T07:27:00.000,rem,1350,2023-08-25T07:49:30.000,wake,720,2023-08-25T00:56:30.000,wake,60,2023-08-25T01:50:30.000,wake,60,2023-08-25T02:12:00.000,wake,30,2023-08-25T02:16:30.000,wake,30,2023-08-25T02:24:00.000,wake,30,2023-08-25T02:47:00.000,wake,60,2023-08-25T02:55:30.000,wake,90,2023-08-25T03:00:00.000,wake,30,2023-08-25T03:10:00.000,wake,30,2023-08-25T03:19:00.000,wake,30,2023-08-25T03:53:00.000,wake,30,2023-08-25T04:06:00.000,wake,30,2023-08-25T04:57:30.000,wake,120,2023-08-25T05:35:30.000,wake,90,2023-08-25T05:48:30.000,wake,30,2023-08-25T05:54:00.000,wake,120,2023-08-25T06:02:00.000,wake,30,2023-08-25T06:06:00.000,wake,30,2023-08-25T06:08:30.000,wake,30,2023-08-25T06:18:30.000,wake,60,2023-08-25T06:22:00.000,wake,30,2023-08-25T06:33:00.000,wake,30,2023-08-25T06:38:00.000,wake,90,2023-08-25T06:47:30.000,wake,30,2023-08-25T06:51:30.000,wake,30,2023-08-25T07:26:00.000,wake,30,2023-08-25T07:34:00.000,wake,30,2023-08-25T07:44:30.000,wake,30,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42536479386,2023-08-24,2023-08-24T01:07:00.000,2023-08-24T10:31:30.000,33840000,0,498,66,0,564,95,stages,0,auto_detected,3,90,79,30,66,57,21,289,218,15,119,92,2023-08-24T01:07:00.000,wake,540,2023-08-24T01:16:00.000,light,660,2023-08-24T01:27:00.000,deep,3690,2023-08-24T02:28:30.000,light,3570,2023-08-24T03:28:00.000,deep,1350,2023-08-24T03:50:30.000,light,30,2023-08-24T03:51:00.000,rem,1140,2023-08-24T04:10:00.000,light,3750,2023-08-24T05:12:30.000,rem,1050,2023-08-24T05:30:00.000,light,30,2023-08-24T05:30:30.000,wake,480,2023-08-24T05:38:30.000,light,1920,2023-08-24T06:10:30.000,deep,540,2023-08-24T06:19:30.000,light,180,2023-08-24T06:22:30.000,rem,270,2023-08-24T06:27:00.000,wake,510,2023-08-24T01:18:00.000,wake,120,2023-08-24T02:27:30.000,wake,60,2023-08-24T02:48:30.000,wake,30,2023-08-24T03:49:00.000,wake,90,2023-08-24T04:10:00.000,wake,90,2023-08-24T04:36:00.000,wake,120,2023-08-24T04:40:00.000,wake,120,2023-08-24T05:12:00.000,wake,30,2023-08-24T05:23:30.000,wake,30,2023-08-24T06:19:00.000,wake,30,2023-08-24T06:45:30.000,wake,30,2023-08-24T06:48:00.000,wake,30,2023-08-24T06:50:00.000,wake,30,2023-08-24T06:56:30.000,wake,30,2023-08-24T07:00:30.000,wake,30,2023-08-24T07:09:00.000,wake,30,2023-08-24T07:23:00.000,wake,30,2023-08-24T07:45:30.000,wake,30,2023-08-24T07:57:00.000,wake,120,2023-08-24T08:32:00.000,wake,60,2023-08-24T08:35:00.000,wake,60,2023-08-24T09:05:00.000,wake,30,2023-08-24T09:31:00.000,wake,90,2023-08-24T09:40:30.000,wake,30,2023-08-24T10:08:30.000,wake,30,,,,,,,,,,true,2023-08-24T06:35:30.000,rem,2250,2023-08-24T07:13:00.000,light,2130,2023-08-24T07:48:30.000,rem,510,2023-08-24T07:57:00.000,light,1140,2023-08-24T08:16:00.000,wake,780,2023-08-24T08:29:00.000,light,2430,2023-08-24T09:09:30.000,rem,2250,2023-08-24T09:47:00.000,light,2370,2023-08-24T10:26:30.000,wake,300,,,,,,,,,,,,,,,,,,,,,,,,
42536479385,2023-08-23,2023-08-23T01:28:00.000,2023-08-23T08:19:00.000,24660000,0,379,32,0,411,95,stages,0,auto_detected,3,101,78,25,32,58,19,188,219,12,90,92,2023-08-23T01:28:00.000,wake,300,2023-08-23T01:33:00.000,light,1590,2023-08-23T01:59:30.000,deep,1980,2023-08-23T02:32:30.000,wake,600,2023-08-23T02:42:30.000,light,840,2023-08-23T02:56:30.000,deep,3450,2023-08-23T03:54:00.000,light,30,2023-08-23T03:54:30.000,rem,2040,2023-08-23T04:28:30.000,light,2280,2023-08-23T05:06:30.000,deep,720,2023-08-23T05:18:30.000,light,1980,2023-08-23T05:51:30.000,rem,2190,2023-08-23T06:28:00.000,light,3090,2023-08-23T07:19:30.000,rem,1440,2023-08-23T07:43:30.000,light,420,2023-08-23T07:50:30.000,wake,210,2023-08-23T01:38:30.000,wake,30,2023-08-23T03:53:30.000,wake,30,2023-08-23T03:59:00.000,wake,30,2023-08-23T04:02:30.000,wake,30,2023-08-23T04:15:30.000,wake,30,2023-08-23T04:20:00.000,wake,30,2023-08-23T04:30:00.000,wake,60,2023-08-23T05:17:30.000,wake,60,2023-08-23T05:20:30.000,wake,60,2023-08-23T05:26:00.000,wake,30,2023-08-23T05:52:00.000,wake,30,2023-08-23T06:01:00.000,wake,60,2023-08-23T06:14:30.000,wake,30,2023-08-23T06:17:30.000,wake,30,2023-08-23T06:28:30.000,wake,30,2023-08-23T06:51:30.000,wake,30,2023-08-23T07:18:00.000,wake,30,2023-08-23T07:27:00.000,wake,30,2023-08-23T07:44:00.000,wake,30,2023-08-23T07:56:00.000,wake,60,2023-08-23T08:12:30.000,wake,30,2023-08-23T08:16:30.000,wake,30,,,,,,,,,,,,,,,,,,,true,2023-08-23T07:54:00.000,light,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42513629730,2023-08-22,2023-08-22T00:01:30.000,2023-08-22T08:05:30.000,29040000,0,420,64,0,484,96,stages,0,auto_detected,3,72,78,28,64,57,25,251,218,8,97,92,2023-08-22T00:01:30.000,wake,30,2023-08-22T00:02:00.000,light,2670,2023-08-22T00:46:30.000,deep,300,2023-08-22T00:51:30.000,light,810,2023-08-22T01:05:00.000,rem,1230,2023-08-22T01:25:30.000,light,810,2023-08-22T01:39:00.000,deep,3450,2023-08-22T02:36:30.000,light,6030,2023-08-22T04:17:00.000,rem,1920,2023-08-22T04:49:00.000,wake,300,2023-08-22T04:54:00.000,light,2880,2023-08-22T05:42:00.000,deep,720,2023-08-22T05:54:00.000,light,300,2023-08-22T05:59:00.000,rem,2040,2023-08-22T06:33:00.000,wake,420,2023-08-22T06:40:00.000,light,1860,2023-08-22T00:01:30.000,wake,180,2023-08-22T00:16:00.000,wake,90,2023-08-22T00:19:00.000,wake,30,2023-08-22T00:54:00.000,wake,60,2023-08-22T01:24:00.000,wake,30,2023-08-22T01:31:00.000,wake,30,2023-08-22T02:35:00.000,wake,90,2023-08-22T02:39:00.000,wake,60,2023-08-22T02:46:30.000,wake,60,2023-08-22T02:51:00.000,wake,60,2023-08-22T03:24:00.000,wake,90,2023-08-22T03:30:30.000,wake,120,2023-08-22T03:42:30.000,wake,60,2023-08-22T03:50:00.000,wake,30,2023-08-22T04:15:30.000,wake,30,2023-08-22T04:41:00.000,wake,60,2023-08-22T04:59:00.000,wake,30,2023-08-22T05:52:30.000,wake,90,2023-08-22T05:57:00.000,wake,90,2023-08-22T06:10:00.000,wake,30,2023-08-22T06:21:30.000,wake,30,2023-08-22T06:52:30.000,wake,90,2023-08-22T07:49:00.000,wake,150,,,,,,,,,,,,,,,,true,2023-08-22T07:11:00.000,rem,780,2023-08-22T07:24:00.000,wake,750,2023-08-22T07:36:30.000,light,210,2023-08-22T07:40:00.000,wake,300,2023-08-22T07:45:00.000,light,720,2023-08-22T07:57:00.000,wake,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503118608,2023-08-21,2023-08-20T23:36:30.000,2023-08-21T08:25:30.000,31740000,0,466,63,0,529,93,stages,0,auto_detected,3,105,77,35,63,57,25,238,217,19,123,91,2023-08-20T23:36:30.000,wake,30,2023-08-20T23:37:00.000,light,1860,2023-08-21T00:08:00.000,deep,1770,2023-08-21T00:37:30.000,light,240,2023-08-21T00:41:30.000,rem,360,2023-08-21T00:47:30.000,light,2310,2023-08-21T01:26:00.000,deep,2850,2023-08-21T02:13:30.000,light,240,2023-08-21T02:17:30.000,rem,1560,2023-08-21T02:43:30.000,wake,390,2023-08-21T02:50:00.000,light,270,2023-08-21T02:54:30.000,wake,360,2023-08-21T03:00:30.000,light,450,2023-08-21T03:08:00.000,wake,540,2023-08-21T03:17:00.000,light,120,2023-08-21T03:19:00.000,wake,660,2023-08-20T23:36:30.000,wake,90,2023-08-20T23:40:00.000,wake,180,2023-08-20T23:45:00.000,wake,60,2023-08-21T00:37:00.000,wake,30,2023-08-21T01:02:00.000,wake,90,2023-08-21T01:06:00.000,wake,60,2023-08-21T02:14:00.000,wake,180,2023-08-21T02:32:00.000,wake,30,2023-08-21T03:02:30.000,wake,60,2023-08-21T04:02:30.000,wake,30,2023-08-21T04:12:30.000,wake,90,2023-08-21T04:23:00.000,wake,30,2023-08-21T04:28:30.000,wake,30,2023-08-21T05:39:00.000,wake,60,2023-08-21T05:41:30.000,wake,60,2023-08-21T05:47:30.000,wake,30,2023-08-21T05:49:30.000,wake,30,2023-08-21T05:58:00.000,wake,30,2023-08-21T06:06:00.000,wake,30,2023-08-21T06:14:30.000,wake,30,2023-08-21T06:24:30.000,wake,30,2023-08-21T06:31:30.000,wake,30,2023-08-21T07:04:30.000,wake,30,2023-08-21T07:08:00.000,wake,30,2023-08-21T07:10:00.000,wake,30,2023-08-21T07:15:00.000,wake,30,2023-08-21T07:30:30.000,wake,60,2023-08-21T07:33:30.000,wake,30,true,2023-08-21T03:30:00.000,light,2280,2023-08-21T04:08:00.000,rem,1380,2023-08-21T04:31:00.000,light,2340,2023-08-21T05:10:00.000,deep,1800,2023-08-21T05:40:00.000,rem,3060,2023-08-21T06:31:00.000,light,2820,2023-08-21T07:18:00.000,rem,1080,2023-08-21T07:36:00.000,light,2280,2023-08-21T08:14:00.000,rem,420,2023-08-21T08:21:00.000,wake,270,2023-08-21T07:37:30.000,wake,60,2023-08-21T07:56:30.000,wake,30,,,,,,,,,,,,,,,
42491071622,2023-08-20,2023-08-20T01:31:00.000,2023-08-20T08:10:00.000,23940000,0,371,28,0,399,97,stages,0,auto_detected,3,56,78,23,28,58,18,210,217,12,105,90,2023-08-20T01:31:00.000,wake,30,2023-08-20T01:31:30.000,light,810,2023-08-20T01:45:00.000,deep,840,2023-08-20T01:59:00.000,light,750,2023-08-20T02:11:30.000,rem,810,2023-08-20T02:25:00.000,light,2580,2023-08-20T03:08:00.000,deep,2070,2023-08-20T03:42:30.000,rem,1590,2023-08-20T04:09:00.000,light,3270,2023-08-20T05:03:30.000,deep,480,2023-08-20T05:11:30.000,light,150,2023-08-20T05:14:00.000,rem,2190,2023-08-20T05:50:30.000,light,2880,2023-08-20T06:38:30.000,rem,2310,2023-08-20T07:17:00.000,light,2790,2023-08-20T08:03:30.000,wake,390,2023-08-20T01:31:00.000,wake,180,2023-08-20T02:26:00.000,wake,60,2023-08-20T02:39:30.000,wake,30,2023-08-20T03:04:30.000,wake,30,2023-08-20T03:45:30.000,wake,30,2023-08-20T04:03:00.000,wake,120,2023-08-20T04:07:00.000,wake,120,2023-08-20T04:28:30.000,wake,30,2023-08-20T05:10:30.000,wake,60,2023-08-20T05:19:00.000,wake,90,2023-08-20T05:34:00.000,wake,30,2023-08-20T05:46:30.000,wake,30,2023-08-20T05:51:30.000,wake,60,2023-08-20T06:27:30.000,wake,60,2023-08-20T06:34:00.000,wake,60,2023-08-20T06:37:30.000,wake,30,2023-08-20T06:40:00.000,wake,90,2023-08-20T06:58:00.000,wake,30,2023-08-20T07:06:30.000,wake,60,2023-08-20T07:21:00.000,wake,30,2023-08-20T07:44:00.000,wake,60,2023-08-20T07:53:30.000,wake,30,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42480203264,2023-08-19,2023-08-18T23:42:00.000,2023-08-19T08:28:30.000,31560000,0,457,69,0,526,94,stages,0,auto_detected,2,77,78,29,69,58,27,259,215,11,121,89,2023-08-18T23:42:00.000,wake,300,2023-08-18T23:47:00.000,light,2820,2023-08-19T00:34:00.000,wake,210,2023-08-19T00:37:30.000,light,300,2023-08-19T00:42:30.000,rem,330,2023-08-19T00:48:00.000,wake,360,2023-08-19T00:54:00.000,light,330,2023-08-19T00:59:30.000,deep,4110,2023-08-19T02:08:00.000,light,270,2023-08-19T02:12:30.000,rem,1440,2023-08-19T02:36:30.000,light,4140,2023-08-19T03:45:30.000,wake,720,2023-08-19T03:57:30.000,light,1500,2023-08-19T04:22:30.000,rem,3150,2023-08-19T05:15:00.000,light,3510,2023-08-19T06:13:30.000,rem,1440,2023-08-18T23:49:30.000,wake,30,2023-08-19T00:15:00.000,wake,30,2023-08-19T02:08:30.000,wake,30,2023-08-19T02:13:30.000,wake,60,2023-08-19T02:26:00.000,wake,30,2023-08-19T02:44:00.000,wake,30,2023-08-19T03:12:30.000,wake,120,2023-08-19T03:30:30.000,wake,30,2023-08-19T03:33:30.000,wake,150,2023-08-19T04:07:00.000,wake,30,2023-08-19T04:12:00.000,wake,120,2023-08-19T04:15:30.000,wake,150,2023-08-19T04:47:30.000,wake,30,2023-08-19T04:50:00.000,wake,30,2023-08-19T04:54:00.000,wake,30,2023-08-19T05:17:00.000,wake,30,2023-08-19T05:54:00.000,wake,60,2023-08-19T06:11:30.000,wake,30,2023-08-19T06:28:00.000,wake,30,2023-08-19T06:38:00.000,wake,150,2023-08-19T07:24:00.000,wake,30,2023-08-19T08:00:00.000,wake,60,2023-08-19T08:10:00.000,wake,30,,,,,,,,,,,,,,,,true,2023-08-19T06:37:30.000,light,2250,2023-08-19T07:15:00.000,deep,480,2023-08-19T07:23:00.000,light,150,2023-08-19T07:25:30.000,rem,1140,2023-08-19T07:44:30.000,wake,690,2023-08-19T07:56:00.000,light,1380,2023-08-19T08:19:00.000,wake,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42467866964,2023-08-18,2023-08-18T00:40:30.000,2023-08-18T08:23:30.000,27780000,0,400,63,4,463,93,stages,0,auto_detected,3,80,78,30,63,58,21,235,215,14,85,89,2023-08-18T00:40:30.000,wake,930,2023-08-18T00:56:00.000,light,1710,2023-08-18T01:24:30.000,deep,2310,2023-08-18T02:03:00.000,wake,210,2023-08-18T02:06:30.000,rem,900,2023-08-18T02:21:30.000,light,1470,2023-08-18T02:46:00.000,deep,540,2023-08-18T02:55:00.000,light,2640,2023-08-18T03:39:00.000,rem,1620,2023-08-18T04:06:00.000,light,2130,2023-08-18T04:41:30.000,deep,1980,2023-08-18T05:14:30.000,light,270,2023-08-18T05:19:00.000,rem,1560,2023-08-18T05:45:00.000,light,2550,2023-08-18T06:27:30.000,rem,450,2023-08-18T06:35:00.000,light,360,2023-08-18T00:58:00.000,wake,30,2023-08-18T01:01:30.000,wake,30,2023-08-18T02:15:00.000,wake,30,2023-08-18T02:54:30.000,wake,30,2023-08-18T03:00:30.000,wake,60,2023-08-18T03:47:30.000,wake,30,2023-08-18T03:59:30.000,wake,60,2023-08-18T04:03:30.000,wake,60,2023-08-18T05:14:00.000,wake,30,2023-08-18T05:16:30.000,wake,30,2023-08-18T05:26:00.000,wake,60,2023-08-18T05:33:30.000,wake,30,2023-08-18T05:39:30.000,wake,30,2023-08-18T05:45:00.000,wake,60,2023-08-18T06:18:30.000,wake,90,2023-08-18T06:33:00.000,wake,120,2023-08-18T06:37:00.000,wake,60,2023-08-18T07:01:00.000,wake,30,2023-08-18T07:03:00.000,wake,30,2023-08-18T07:13:30.000,wake,30,2023-08-18T07:17:00.000,wake,60,2023-08-18T07:25:30.000,wake,30,2023-08-18T07:31:00.000,wake,60,,,,,,,,,,,,,,,,true,2023-08-18T06:41:00.000,wake,240,2023-08-18T06:45:00.000,light,150,2023-08-18T06:47:30.000,rem,1050,2023-08-18T07:05:00.000,wake,300,2023-08-18T07:10:00.000,light,3060,2023-08-18T08:01:00.000,wake,420,2023-08-18T08:08:00.000,light,120,2023-08-18T08:10:00.000,wake,240,2023-08-18T08:14:00.000,light,180,2023-08-18T08:17:00.000,wake,390,,,,,,,,,,,,,,,,,,,,,
42456476754,2023-08-17,2023-08-17T00:57:00.000,2023-08-17T08:30:30.000,27180000,0,403,50,0,453,96,stages,0,auto_detected,2,71,78,26,50,58,21,188,216,12,144,86,2023-08-17T00:57:00.000,wake,450,2023-08-17T01:04:30.000,light,1800,2023-08-17T01:34:30.000,rem,480,2023-08-17T01:42:30.000,light,390,2023-08-17T01:49:00.000,rem,1050,2023-08-17T02:06:30.000,light,270,2023-08-17T02:11:00.000,rem,1020,2023-08-17T02:28:00.000,light,1590,2023-08-17T02:54:30.000,deep,2340,2023-08-17T03:33:30.000,light,150,2023-08-17T03:36:00.000,rem,1590,2023-08-17T04:02:30.000,wake,630,2023-08-17T04:13:00.000,light,2310,2023-08-17T04:51:30.000,deep,2130,2023-08-17T05:27:00.000,light,90,2023-08-17T05:28:30.000,rem,1890,2023-08-17T01:33:00.000,wake,30,2023-08-17T02:09:30.000,wake,30,2023-08-17T02:22:00.000,wake,30,2023-08-17T02:28:00.000,wake,30,2023-08-17T02:47:00.000,wake,30,2023-08-17T02:50:30.000,wake,30,2023-08-17T03:30:30.000,wake,180,2023-08-17T03:36:00.000,wake,60,2023-08-17T03:49:30.000,wake,30,2023-08-17T04:16:30.000,wake,120,2023-08-17T04:37:30.000,wake,60,2023-08-17T05:26:00.000,wake,60,2023-08-17T05:35:00.000,wake,30,2023-08-17T05:51:00.000,wake,30,2023-08-17T05:58:00.000,wake,120,2023-08-17T06:44:30.000,wake,120,2023-08-17T07:06:00.000,wake,30,2023-08-17T07:32:30.000,wake,30,2023-08-17T07:42:00.000,wake,30,2023-08-17T07:56:00.000,wake,60,2023-08-17T08:00:00.000,wake,180,2023-08-17T08:15:00.000,wake,30,,,,,,,,,,,,,,,,,,,true,2023-08-17T06:00:00.000,light,120,2023-08-17T06:02:00.000,wake,210,2023-08-17T06:05:30.000,light,2610,2023-08-17T06:49:00.000,rem,3000,2023-08-17T07:39:00.000,light,2700,2023-08-17T08:24:00.000,wake,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42441849872,2023-08-16,2023-08-15T23:52:30.000,2023-08-16T08:04:30.000,29520000,0,431,61,0,492,97,stages,0,auto_detected,3,88,78,31,61,58,27,245,214,12,98,86,2023-08-15T23:52:30.000,wake,30,2023-08-15T23:53:00.000,light,480,2023-08-16T00:01:00.000,wake,420,2023-08-16T00:08:00.000,light,1350,2023-08-16T00:30:30.000,deep,2070,2023-08-16T01:05:00.000,light,960,2023-08-16T01:21:00.000,deep,2940,2023-08-16T02:10:00.000,light,720,2023-08-16T02:22:00.000,rem,2160,2023-08-16T02:58:00.000,light,2610,2023-08-16T03:41:30.000,deep,300,2023-08-16T03:46:30.000,light,1470,2023-08-16T04:11:00.000,wake,210,2023-08-16T04:14:30.000,light,510,2023-08-16T04:23:00.000,wake,540,2023-08-16T04:32:00.000,rem,900,2023-08-15T23:59:00.000,wake,30,2023-08-16T01:04:30.000,wake,30,2023-08-16T02:10:30.000,wake,30,2023-08-16T02:28:30.000,wake,30,2023-08-16T02:56:00.000,wake,60,2023-08-16T03:00:00.000,wake,60,2023-08-16T03:46:30.000,wake,30,2023-08-16T03:53:30.000,wake,90,2023-08-16T03:57:00.000,wake,120,2023-08-16T05:02:30.000,wake,30,2023-08-16T05:07:00.000,wake,30,2023-08-16T05:35:00.000,wake,60,2023-08-16T05:39:30.000,wake,30,2023-08-16T05:49:00.000,wake,30,2023-08-16T05:54:30.000,wake,30,2023-08-16T06:21:00.000,wake,30,2023-08-16T06:30:00.000,wake,60,2023-08-16T06:38:30.000,wake,30,2023-08-16T06:51:30.000,wake,60,2023-08-16T06:55:00.000,wake,30,2023-08-16T07:24:00.000,wake,90,2023-08-16T07:28:00.000,wake,60,2023-08-16T07:39:30.000,wake,30,2023-08-16T07:43:00.000,wake,60,,,,,,,,,,,,,true,2023-08-16T04:47:00.000,light,3360,2023-08-16T05:43:00.000,rem,840,2023-08-16T05:57:00.000,light,2100,2023-08-16T06:32:00.000,rem,1950,2023-08-16T07:04:30.000,light,240,2023-08-16T07:08:30.000,wake,450,2023-08-16T07:16:00.000,light,780,2023-08-16T07:29:00.000,rem,270,2023-08-16T07:33:30.000,light,900,2023-08-16T07:48:30.000,wake,390,,,,,,,2023-08-16T07:55:00.000,light,270,2023-08-16T07:59:30.000,wake,300,,,,,,,,,
