logId,dateOfSleep,startTime,endTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,type,infoCode,logType,levels/summary/deep/count,levels/summary/deep/minutes,levels/summary/deep/thirtyDayAvgMinutes,levels/summary/wake/count,levels/summary/wake/minutes,levels/summary/wake/thirtyDayAvgMinutes,levels/summary/light/count,levels/summary/light/minutes,levels/summary/light/thirtyDayAvgMinutes,levels/summary/rem/count,levels/summary/rem/minutes,levels/summary/rem/thirtyDayAvgMinutes,levels/data/0/dateTime,levels/data/0/level,levels/data/0/seconds,levels/data/1/dateTime,levels/data/1/level,levels/data/1/seconds,levels/data/2/dateTime,levels/data/2/level,levels/data/2/seconds,levels/data/3/dateTime,levels/data/3/level,levels/data/3/seconds,levels/data/4/dateTime,levels/data/4/level,levels/data/4/seconds,levels/data/5/dateTime,levels/data/5/level,levels/data/5/seconds,levels/data/6/dateTime,levels/data/6/level,levels/data/6/seconds,levels/data/7/dateTime,levels/data/7/level,levels/data/7/seconds,levels/data/8/dateTime,levels/data/8/level,levels/data/8/seconds,levels/data/9/dateTime,levels/data/9/level,levels/data/9/seconds,levels/data/10/dateTime,levels/data/10/level,levels/data/10/seconds,levels/data/11/dateTime,levels/data/11/level,levels/data/11/seconds,levels/data/12/dateTime,levels/data/12/level,levels/data/12/seconds,levels/data/13/dateTime,levels/data/13/level,levels/data/13/seconds,levels/data/14/dateTime,levels/data/14/level,levels/data/14/seconds,levels/data/15/dateTime,levels/data/15/level,levels/data/15/seconds,levels/data/16/dateTime,levels/data/16/level,levels/data/16/seconds,levels/data/17/dateTime,levels/data/17/level,levels/data/17/seconds,levels/data/18/dateTime,levels/data/18/level,levels/data/18/seconds,levels/data/19/dateTime,levels/data/19/level,levels/data/19/seconds,levels/data/20/dateTime,levels/data/20/level,levels/data/20/seconds,levels/data/21/dateTime,levels/data/21/level,levels/data/21/seconds,levels/shortData/0/dateTime,levels/shortData/0/level,levels/shortData/0/seconds,levels/shortData/1/dateTime,levels/shortData/1/level,levels/shortData/1/seconds,levels/shortData/2/dateTime,levels/shortData/2/level,levels/shortData/2/seconds,levels/shortData/3/dateTime,levels/shortData/3/level,levels/shortData/3/seconds,levels/shortData/4/dateTime,levels/shortData/4/level,levels/shortData/4/seconds,levels/shortData/5/dateTime,levels/shortData/5/level,levels/shortData/5/seconds,levels/shortData/6/dateTime,levels/shortData/6/level,levels/shortData/6/seconds,levels/shortData/7/dateTime,levels/shortData/7/level,levels/shortData/7/seconds,levels/shortData/8/dateTime,levels/shortData/8/level,levels/shortData/8/seconds,levels/shortData/9/dateTime,levels/shortData/9/level,levels/shortData/9/seconds,levels/shortData/10/dateTime,levels/shortData/10/level,levels/shortData/10/seconds,levels/shortData/11/dateTime,levels/shortData/11/level,levels/shortData/11/seconds,levels/shortData/12/dateTime,levels/shortData/12/level,levels/shortData/12/seconds,levels/shortData/13/dateTime,levels/shortData/13/level,levels/shortData/13/seconds,levels/shortData/14/dateTime,levels/shortData/14/level,levels/shortData/14/seconds,levels/shortData/15/dateTime,levels/shortData/15/level,levels/shortData/15/seconds,levels/shortData/16/dateTime,levels/shortData/16/level,levels/shortData/16/seconds,levels/shortData/17/dateTime,levels/shortData/17/level,levels/shortData/17/seconds,levels/shortData/18/dateTime,levels/shortData/18/level,levels/shortData/18/seconds,levels/shortData/19/dateTime,levels/shortData/19/level,levels/shortData/19/seconds,levels/shortData/20/dateTime,levels/shortData/20/level,levels/shortData/20/seconds,levels/shortData/21/dateTime,levels/shortData/21/level,levels/shortData/21/seconds,levels/shortData/22/dateTime,levels/shortData/22/level,levels/shortData/22/seconds,levels/shortData/23/dateTime,levels/shortData/23/level,levels/shortData/23/seconds,mainSleep,levels/data/22/dateTime,levels/data/22/level,levels/data/22/seconds,levels/data/23/dateTime,levels/data/23/level,levels/data/23/seconds,levels/data/24/dateTime,levels/data/24/level,levels/data/24/seconds,levels/shortData/24/dateTime,levels/shortData/24/level,levels/shortData/24/seconds,levels/shortData/25/dateTime,levels/shortData/25/level,levels/shortData/25/seconds,levels/shortData/26/dateTime,levels/shortData/26/level,levels/shortData/26/seconds,levels/shortData/27/dateTime,levels/shortData/27/level,levels/shortData/27/seconds,levels/shortData/28/dateTime,levels/shortData/28/level,levels/shortData/28/seconds,levels/shortData/29/dateTime,levels/shortData/29/level,levels/shortData/29/seconds,levels/shortData/30/dateTime,levels/shortData/30/level,levels/shortData/30/seconds,levels/shortData/31/dateTime,levels/shortData/31/level,levels/shortData/31/seconds,levels/shortData/32/dateTime,levels/shortData/32/level,levels/shortData/32/seconds,levels/shortData/33/dateTime,levels/shortData/33/level,levels/shortData/33/seconds,levels/shortData/34/dateTime,levels/shortData/34/level,levels/shortData/34/seconds,levels/shortData/35/dateTime,levels/shortData/35/level,levels/shortData/35/seconds,levels/summary/restless/count,levels/summary/restless/minutes,levels/summary/awake/count,levels/summary/awake/minutes,levels/summary/asleep/count,levels/summary/asleep/minutes,levels/data/25/dateTime,levels/data/25/level,levels/data/25/seconds,levels/data/26/dateTime,levels/data/26/level,levels/data/26/seconds,levels/data/27/dateTime,levels/data/27/level,levels/data/27/seconds,levels/data/28/dateTime,levels/data/28/level,levels/data/28/seconds
43582072617,2023-11-23,2023-11-23T00:15:00.000,2023-11-23T07:58:30.000,27780000,0,426,37,0,463,97,stages,0,auto_detected,3,109,73,28,37,54,24,199,209,14,118,95,2023-11-23T00:15:00.000,wake,240,2023-11-23T00:19:00.000,light,840,2023-11-23T00:33:00.000,deep,2370,2023-11-23T01:12:30.000,light,240,2023-11-23T01:16:30.000,rem,810,2023-11-23T01:30:00.000,light,1770,2023-11-23T01:59:30.000,deep,2490,2023-11-23T02:41:00.000,light,90,2023-11-23T02:42:30.000,rem,1860,2023-11-23T03:13:30.000,wake,270,2023-11-23T03:18:00.000,light,3330,2023-11-23T04:13:30.000,rem,1050,2023-11-23T04:31:00.000,light,270,2023-11-23T04:35:30.000,deep,1740,2023-11-23T05:04:30.000,light,1410,2023-11-23T05:28:00.000,wake,210,2023-11-23T05:31:30.000,rem,2100,2023-11-23T06:06:30.000,light,3240,2023-11-23T07:00:30.000,rem,1770,2023-11-23T07:30:00.000,light,360,2023-11-23T07:36:00.000,wake,240,2023-11-23T07:40:00.000,light,1110,2023-11-23T01:43:30.000,wake,30,2023-11-23T01:51:00.000,wake,30,2023-11-23T02:53:30.000,wake,30,2023-11-23T03:00:30.000,wake,30,2023-11-23T03:10:00.000,wake,90,2023-11-23T04:01:30.000,wake,60,2023-11-23T04:04:30.000,wake,30,2023-11-23T04:08:30.000,wake,30,2023-11-23T04:10:30.000,wake,60,2023-11-23T05:03:30.000,wake,60,2023-11-23T05:13:00.000,wake,60,2023-11-23T05:21:30.000,wake,30,2023-11-23T05:24:00.000,wake,60,2023-11-23T05:39:00.000,wake,180,2023-11-23T05:53:30.000,wake,30,2023-11-23T06:01:00.000,wake,30,2023-11-23T06:07:00.000,wake,60,2023-11-23T06:55:30.000,wake,30,2023-11-23T06:58:30.000,wake,30,2023-11-23T07:04:30.000,wake,30,2023-11-23T07:09:00.000,wake,30,2023-11-23T07:20:30.000,wake,60,2023-11-23T07:45:00.000,wake,90,2023-11-23T07:54:30.000,wake,90,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43572203212,2023-11-22,2023-11-22T00:33:00.000,2023-11-22T08:11:30.000,27480000,0,416,42,0,458,95,stages,0,auto_detected,4,106,72,21,42,55,16,190,210,11,120,94,2023-11-22T00:33:00.000,wake,240,2023-11-22T00:37:00.000,light,1950,2023-11-22T01:09:30.000,deep,1920,2023-11-22T01:41:30.000,light,480,2023-11-22T01:49:30.000,rem,420,2023-11-22T01:56:30.000,light,2130,2023-11-22T02:32:00.000,deep,1260,2023-11-22T02:53:00.000,wake,210,2023-11-22T02:56:30.000,rem,2070,2023-11-22T03:31:00.000,light,180,2023-11-22T03:34:00.000,deep,1530,2023-11-22T03:59:30.000,light,1410,2023-11-22T04:23:00.000,rem,300,2023-11-22T04:28:00.000,light,1980,2023-11-22T05:01:00.000,rem,2310,2023-11-22T05:39:30.000,light,1410,2023-11-22T06:03:00.000,deep,1800,2023-11-22T06:33:00.000,light,180,2023-11-22T06:36:00.000,rem,1410,2023-11-22T06:59:30.000,wake,510,2023-11-22T07:08:00.000,light,2430,2023-11-22T07:48:30.000,rem,930,2023-11-22T00:50:30.000,wake,30,2023-11-22T01:39:30.000,wake,120,2023-11-22T01:43:00.000,wake,60,2023-11-22T01:48:30.000,wake,60,2023-11-22T01:56:30.000,wake,180,2023-11-22T03:10:30.000,wake,30,2023-11-22T03:59:00.000,wake,30,2023-11-22T04:05:30.000,wake,60,2023-11-22T04:17:00.000,wake,90,2023-11-22T04:31:00.000,wake,60,2023-11-22T05:05:00.000,wake,60,2023-11-22T05:29:30.000,wake,30,2023-11-22T05:38:30.000,wake,60,2023-11-22T06:40:00.000,wake,30,2023-11-22T06:47:30.000,wake,30,2023-11-22T07:10:00.000,wake,120,2023-11-22T07:19:30.000,wake,90,,,,,,,,,,,,,,,,,,,,,,true,2023-11-22T08:04:00.000,wake,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43560762544,2023-11-21,2023-11-20T23:50:30.000,2023-11-21T09:39:30.000,35340000,0,526,63,0,589,97,stages,0,auto_detected,3,101,70,29,63,54,21,303,206,13,122,93,2023-11-20T23:50:30.000,wake,690,2023-11-21T00:02:00.000,light,1200,2023-11-21T00:22:00.000,deep,1020,2023-11-21T00:39:00.000,light,1980,2023-11-21T01:12:00.000,rem,840,2023-11-21T01:26:00.000,light,510,2023-11-21T01:34:30.000,deep,3810,2023-11-21T02:38:00.000,light,60,2023-11-21T02:39:00.000,rem,1770,2023-11-21T03:08:30.000,light,3210,2023-11-21T04:02:00.000,rem,1290,2023-11-21T04:23:30.000,light,2250,2023-11-21T05:01:00.000,deep,1320,2023-11-21T05:23:00.000,light,1170,2023-11-21T05:42:30.000,wake,390,2023-11-21T05:49:00.000,rem,1230,2023-11-21T06:09:30.000,light,2970,2023-11-21T06:59:00.000,rem,390,2023-11-21T07:05:30.000,wake,480,2023-11-21T07:13:30.000,light,1140,2023-11-21T07:32:30.000,wake,750,2023-11-21T07:45:00.000,light,1050,2023-11-21T00:39:00.000,wake,30,2023-11-21T01:06:30.000,wake,60,2023-11-21T01:09:00.000,wake,180,2023-11-21T02:37:30.000,wake,30,2023-11-21T02:52:00.000,wake,30,2023-11-21T02:59:00.000,wake,30,2023-11-21T03:16:30.000,wake,30,2023-11-21T03:23:00.000,wake,60,2023-11-21T03:54:30.000,wake,30,2023-11-21T03:59:30.000,wake,30,2023-11-21T04:20:00.000,wake,30,2023-11-21T04:23:30.000,wake,90,2023-11-21T05:22:00.000,wake,60,2023-11-21T05:37:00.000,wake,30,2023-11-21T05:54:00.000,wake,30,2023-11-21T05:59:00.000,wake,90,2023-11-21T06:06:30.000,wake,30,2023-11-21T06:09:30.000,wake,60,2023-11-21T06:58:30.000,wake,30,2023-11-21T07:17:00.000,wake,120,2023-11-21T07:59:30.000,wake,30,2023-11-21T08:26:30.000,wake,30,2023-11-21T08:56:00.000,wake,30,2023-11-21T09:27:00.000,wake,60,true,2023-11-21T08:02:30.000,rem,2040,2023-11-21T08:36:30.000,light,3510,2023-11-21T09:35:00.000,wake,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43548163413,2023-11-20,2023-11-20T01:46:00.000,2023-11-20T07:03:00.000,19020000,0,280,37,0,317,97,stages,0,auto_detected,3,68,70,19,37,55,18,156,208,6,56,94,2023-11-20T01:46:00.000,wake,60,2023-11-20T01:47:00.000,light,1110,2023-11-20T02:05:30.000,deep,2430,2023-11-20T02:46:00.000,rem,990,2023-11-20T03:02:30.000,light,1050,2023-11-20T03:20:00.000,deep,1470,2023-11-20T03:44:30.000,light,30,2023-11-20T03:45:00.000,wake,210,2023-11-20T03:48:30.000,light,3090,2023-11-20T04:40:00.000,deep,300,2023-11-20T04:45:00.000,light,60,2023-11-20T04:46:00.000,rem,1080,2023-11-20T05:04:00.000,light,30,2023-11-20T05:04:30.000,wake,510,2023-11-20T05:13:00.000,light,4410,2023-11-20T06:26:30.000,rem,1020,2023-11-20T06:43:30.000,wake,600,2023-11-20T06:53:30.000,rem,330,2023-11-20T06:59:00.000,wake,240,,,,,,,,,,2023-11-20T01:46:00.000,wake,60,2023-11-20T01:49:00.000,wake,30,2023-11-20T01:52:30.000,wake,30,2023-11-20T02:44:00.000,wake,120,2023-11-20T03:04:00.000,wake,60,2023-11-20T03:51:00.000,wake,30,2023-11-20T04:07:30.000,wake,60,2023-11-20T04:11:00.000,wake,30,2023-11-20T05:19:30.000,wake,30,2023-11-20T05:26:30.000,wake,30,2023-11-20T05:56:30.000,wake,30,2023-11-20T06:02:30.000,wake,60,2023-11-20T06:16:30.000,wake,60,2023-11-20T06:33:30.000,wake,30,2023-11-20T06:39:00.000,wake,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43537073281,2023-11-19,2023-11-19T03:08:00.000,2023-11-19T10:44:30.000,27360000,0,402,54,0,456,96,stages,0,auto_detected,6,64,71,24,54,55,19,224,207,12,114,93,2023-11-19T03:08:00.000,wake,240,2023-11-19T03:12:00.000,light,1140,2023-11-19T03:31:00.000,deep,420,2023-11-19T03:38:00.000,light,600,2023-11-19T03:48:00.000,deep,1740,2023-11-19T04:17:00.000,light,540,2023-11-19T04:26:00.000,wake,420,2023-11-19T04:33:00.000,light,480,2023-11-19T04:41:00.000,deep,360,2023-11-19T04:47:00.000,light,1140,2023-11-19T05:06:00.000,deep,570,2023-11-19T05:15:30.000,light,1650,2023-11-19T05:43:00.000,rem,1950,2023-11-19T06:15:30.000,light,2400,2023-11-19T06:55:30.000,deep,600,2023-11-19T07:05:30.000,light,300,2023-11-19T07:10:30.000,rem,2340,2023-11-19T07:49:30.000,light,1860,2023-11-19T08:20:30.000,deep,300,2023-11-19T08:25:30.000,light,990,2023-11-19T08:42:00.000,rem,1980,2023-11-19T09:15:00.000,light,2640,2023-11-19T03:38:00.000,wake,60,2023-11-19T04:14:30.000,wake,150,2023-11-19T04:47:00.000,wake,30,2023-11-19T05:15:30.000,wake,30,2023-11-19T05:35:30.000,wake,30,2023-11-19T05:42:00.000,wake,30,2023-11-19T05:44:00.000,wake,30,2023-11-19T06:01:00.000,wake,30,2023-11-19T06:03:30.000,wake,60,2023-11-19T06:09:30.000,wake,30,2023-11-19T06:29:00.000,wake,30,2023-11-19T07:06:00.000,wake,30,2023-11-19T07:15:00.000,wake,60,2023-11-19T07:24:30.000,wake,30,2023-11-19T07:39:00.000,wake,60,2023-11-19T08:25:30.000,wake,30,2023-11-19T08:38:30.000,wake,30,2023-11-19T09:01:00.000,wake,60,2023-11-19T09:29:30.000,wake,60,2023-11-19T09:57:00.000,wake,30,2023-11-19T10:14:30.000,wake,180,,,,,,,,,,true,2023-11-19T09:59:00.000,rem,1110,2023-11-19T10:17:30.000,light,90,2023-11-19T10:19:00.000,wake,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43527554638,2023-11-18,2023-11-18T01:57:30.000,2023-11-18T09:39:30.000,27720000,0,396,66,0,462,94,stages,0,auto_detected,3,50,72,17,66,54,14,263,204,10,83,94,2023-11-18T01:57:30.000,wake,540,2023-11-18T02:06:30.000,light,990,2023-11-18T02:23:00.000,deep,570,2023-11-18T02:32:30.000,light,330,2023-11-18T02:38:00.000,deep,1560,2023-11-18T03:04:00.000,light,120,2023-11-18T03:06:00.000,rem,960,2023-11-18T03:22:00.000,light,4380,2023-11-18T04:35:00.000,rem,1470,2023-11-18T04:59:30.000,light,2100,2023-11-18T05:34:30.000,deep,960,2023-11-18T05:50:30.000,light,1770,2023-11-18T06:20:00.000,rem,1350,2023-11-18T06:42:30.000,wake,450,2023-11-18T06:50:00.000,light,2820,2023-11-18T07:37:00.000,wake,1230,2023-11-18T07:57:30.000,rem,420,2023-11-18T08:04:30.000,light,150,2023-11-18T08:07:00.000,wake,540,2023-11-18T08:16:00.000,light,180,2023-11-18T08:19:00.000,rem,450,2023-11-18T08:26:30.000,light,3150,2023-11-18T03:22:30.000,wake,30,2023-11-18T03:47:00.000,wake,60,2023-11-18T04:12:30.000,wake,60,2023-11-18T04:37:30.000,wake,90,2023-11-18T04:53:00.000,wake,30,2023-11-18T04:59:30.000,wake,30,2023-11-18T05:49:30.000,wake,60,2023-11-18T05:53:00.000,wake,60,2023-11-18T06:24:30.000,wake,30,2023-11-18T06:33:30.000,wake,60,2023-11-18T08:03:00.000,wake,90,2023-11-18T08:19:00.000,wake,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2023-11-18T09:19:00.000,rem,660,2023-11-18T09:30:00.000,wake,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43515693521,2023-11-17,2023-11-17T01:11:30.000,2023-11-17T10:07:30.000,32160000,0,478,58,0,536,96,stages,0,auto_detected,4,86,71,39,58,54,29,262,201,17,130,92,2023-11-17T01:11:30.000,wake,30,2023-11-17T01:12:00.000,light,2580,2023-11-17T01:55:00.000,deep,1320,2023-11-17T02:17:00.000,light,300,2023-11-17T02:22:00.000,rem,360,2023-11-17T02:28:00.000,light,510,2023-11-17T02:36:30.000,deep,2400,2023-11-17T03:16:30.000,light,30,2023-11-17T03:17:00.000,rem,1530,2023-11-17T03:42:30.000,light,4470,2023-11-17T04:57:00.000,rem,960,2023-11-17T05:13:00.000,light,240,2023-11-17T05:17:00.000,rem,1500,2023-11-17T05:42:00.000,light,2250,2023-11-17T06:19:30.000,deep,300,2023-11-17T06:24:30.000,light,1050,2023-11-17T06:42:00.000,rem,1530,2023-11-17T07:07:30.000,wake,450,2023-11-17T07:15:00.000,light,3450,2023-11-17T08:12:30.000,rem,960,2023-11-17T08:28:30.000,light,1860,2023-11-17T08:59:30.000,deep,1290,2023-11-17T02:16:30.000,wake,30,2023-11-17T02:29:00.000,wake,30,2023-11-17T03:14:30.000,wake,120,2023-11-17T03:42:00.000,wake,30,2023-11-17T03:44:00.000,wake,30,2023-11-17T04:00:30.000,wake,30,2023-11-17T04:31:30.000,wake,30,2023-11-17T04:33:30.000,wake,180,2023-11-17T04:52:00.000,wake,30,2023-11-17T04:54:00.000,wake,180,2023-11-17T04:59:30.000,wake,30,2023-11-17T05:02:30.000,wake,30,2023-11-17T05:05:30.000,wake,30,2023-11-17T05:10:30.000,wake,150,2023-11-17T05:15:00.000,wake,60,2023-11-17T05:32:00.000,wake,30,2023-11-17T05:35:30.000,wake,60,2023-11-17T05:40:00.000,wake,30,2023-11-17T05:42:00.000,wake,30,2023-11-17T06:25:00.000,wake,30,2023-11-17T06:35:30.000,wake,90,2023-11-17T06:47:00.000,wake,60,2023-11-17T07:05:00.000,wake,60,2023-11-17T07:24:30.000,wake,60,true,2023-11-17T09:21:00.000,light,450,2023-11-17T09:28:30.000,rem,1530,2023-11-17T09:54:00.000,wake,810,2023-11-17T07:28:00.000,wake,60,2023-11-17T07:35:30.000,wake,30,2023-11-17T07:39:00.000,wake,60,2023-11-17T07:45:00.000,wake,120,2023-11-17T07:49:00.000,wake,60,2023-11-17T07:54:30.000,wake,60,2023-11-17T07:58:00.000,wake,60,2023-11-17T08:09:30.000,wake,30,2023-11-17T08:28:30.000,wake,30,2023-11-17T09:20:30.000,wake,30,2023-11-17T09:32:30.000,wake,30,2023-11-17T09:43:00.000,wake,30,,,,,,,,,,,,,,,,,,
43501379393,2023-11-16,2023-11-16T02:43:00.000,2023-11-16T07:53:00.000,18600000,0,267,43,0,310,97,stages,0,auto_detected,1,32,73,16,43,55,16,165,203,3,70,93,2023-11-16T02:43:00.000,wake,480,2023-11-16T02:51:00.000,light,1080,2023-11-16T03:09:00.000,wake,210,2023-11-16T03:12:30.000,light,1680,2023-11-16T03:40:30.000,rem,3720,2023-11-16T04:42:30.000,light,870,2023-11-16T04:57:00.000,rem,480,2023-11-16T05:05:00.000,light,3900,2023-11-16T06:10:00.000,deep,2070,2023-11-16T06:44:30.000,light,2670,2023-11-16T07:29:00.000,wake,360,2023-11-16T07:35:00.000,light,210,2023-11-16T07:38:30.000,wake,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-16T03:28:00.000,wake,30,2023-11-16T04:11:00.000,wake,30,2023-11-16T05:16:00.000,wake,30,2023-11-16T05:28:30.000,wake,180,2023-11-16T05:33:30.000,wake,30,2023-11-16T05:39:00.000,wake,30,2023-11-16T06:42:00.000,wake,150,2023-11-16T06:48:30.000,wake,30,2023-11-16T06:54:00.000,wake,30,2023-11-16T07:00:30.000,wake,30,2023-11-16T07:06:30.000,wake,90,2023-11-16T07:11:30.000,wake,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43490607674,2023-11-15,2023-11-15T01:28:00.000,2023-11-15T07:57:00.000,23340000,0,355,34,0,389,95,stages,0,auto_detected,2,80,73,15,34,56,12,191,204,9,84,94,2023-11-15T01:28:00.000,wake,330,2023-11-15T01:33:30.000,light,1500,2023-11-15T01:58:30.000,deep,2100,2023-11-15T02:33:30.000,rem,540,2023-11-15T02:42:30.000,light,1950,2023-11-15T03:15:00.000,deep,2670,2023-11-15T03:59:30.000,light,120,2023-11-15T04:01:30.000,rem,1710,2023-11-15T04:30:00.000,light,3900,2023-11-15T05:35:00.000,rem,3060,2023-11-15T06:26:00.000,light,2820,2023-11-15T07:13:00.000,wake,390,2023-11-15T07:19:30.000,light,1230,2023-11-15T07:40:00.000,wake,780,2023-11-15T07:53:00.000,light,240,,,,,,,,,,,,,,,,,,,,,,2023-11-15T04:10:30.000,wake,30,2023-11-15T04:18:30.000,wake,30,2023-11-15T04:29:00.000,wake,60,2023-11-15T04:56:30.000,wake,30,2023-11-15T05:31:00.000,wake,90,2023-11-15T05:54:00.000,wake,30,2023-11-15T06:00:00.000,wake,30,2023-11-15T06:06:00.000,wake,60,2023-11-15T06:20:00.000,wake,30,2023-11-15T06:26:30.000,wake,60,2023-11-15T07:00:00.000,wake,30,2023-11-15T07:06:00.000,wake,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43478919042,2023-11-14,2023-11-14T00:34:00.000,2023-11-14T07:23:30.000,24540000,0,354,55,0,409,94,stages,0,auto_detected,4,80,72,18,55,56,20,181,205,4,93,94,2023-11-14T00:34:00.000,wake,660,2023-11-14T00:45:00.000,light,2220,2023-11-14T01:22:00.000,wake,300,2023-11-14T01:27:00.000,light,1380,2023-11-14T01:50:00.000,deep,1770,2023-11-14T02:19:30.000,light,30,2023-11-14T02:20:00.000,rem,900,2023-11-14T02:35:00.000,light,930,2023-11-14T02:50:30.000,deep,270,2023-11-14T02:55:00.000,light,1710,2023-11-14T03:23:30.000,deep,390,2023-11-14T03:30:00.000,light,720,2023-11-14T03:42:00.000,rem,3600,2023-11-14T04:42:00.000,light,1380,2023-11-14T05:05:00.000,deep,2460,2023-11-14T05:46:00.000,light,90,2023-11-14T05:47:30.000,rem,1140,2023-11-14T06:06:30.000,light,2220,2023-11-14T06:43:30.000,wake,510,2023-11-14T06:52:00.000,light,1050,2023-11-14T07:09:30.000,wake,840,,,,2023-11-14T00:47:30.000,wake,60,2023-11-14T00:56:30.000,wake,30,2023-11-14T02:36:00.000,wake,60,2023-11-14T03:05:00.000,wake,120,2023-11-14T03:35:00.000,wake,120,2023-11-14T03:54:00.000,wake,30,2023-11-14T04:41:30.000,wake,30,2023-11-14T04:43:30.000,wake,120,2023-11-14T05:44:30.000,wake,90,2023-11-14T06:06:30.000,wake,60,2023-11-14T06:31:30.000,wake,30,2023-11-14T06:36:30.000,wake,30,2023-11-14T06:54:00.000,wake,120,2023-11-14T07:00:00.000,wake,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
